ipsrc,ipdst,timestamp,src_port,dst_port,protocol,flags,packet_length,throughput
10.252.249.1,10.252.40.101,2025-02-05 09:19:39,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:39,,,GTP,,4704,37632
10.90.0.1,255.255.255.255,2025-02-05 09:19:39,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:40,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:40,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:40,,,GTP,,4800,38400
10.90.0.1,255.255.255.255,2025-02-05 09:19:40,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:41,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:41,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:41,,,GTP,,4800,38400
10.90.0.1,255.255.255.255,2025-02-05 09:19:41,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:42,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:42,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:42,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:42,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:42,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:43,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:43,,,GTP,,4752,38016
10.252.40.101,10.252.249.3,2025-02-05 09:19:43,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:43,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:44,,,VRRP,,40,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:44,,,SCTP,,92,736
10.252.40.101,10.252.249.2,2025-02-05 09:19:44,,,SCTP,,92,736
10.252.249.1,10.252.40.101,2025-02-05 09:19:44,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:44,,,GTP,,4704,37632
10.90.0.1,255.255.255.255,2025-02-05 09:19:44,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:45,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:45,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:45,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:45,,,GTP,,4800,38400
10.90.0.1,255.255.255.255,2025-02-05 09:19:45,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:46,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:46,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:46,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:46,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:47,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:47,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:47,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:47,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:48,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:48,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:48,,,GTP,,2256,18048
10.252.40.101,10.252.249.3,2025-02-05 09:19:48,,,GTP,,2400,19200
10.90.0.1,255.255.255.255,2025-02-05 09:19:48,,,UDP,,48,384
10.90.0.1,255.255.255.255,2025-02-05 09:19:49,,,UDP,,40,320
