frame.time_epoch,frame.len
1735835357.747372000,66
1735835357.748022000,66
1735835357.748550000,66
1735835357.749130000,66
1735835357.749869000,66
1735835357.750418000,66
1735835357.751032000,66
1735835357.751617000,66
1735835357.752175000,66
1735835357.953761000,7306
1735835357.954254000,7306
1735835357.954913000,7306
1735835357.955451000,7306
1735835357.956090000,7306
1735835357.956729000,7306
1735835357.957280000,7306
1735835357.957885000,7306
1735835357.958512000,7306
1735835357.959150000,7306
1735835357.959702000,7306
1735835357.960360000,7306
1735835357.960924000,7306
1735835357.961520000,7306
1735835357.962148000,7306
1735835357.962741000,7306
1735835357.963400000,7306
1735835357.963994000,7306
1735835357.964568000,818
1735835358.003998000,66
1735835358.004391000,66
1735835358.005061000,66
1735835358.005620000,66
1735835358.006309000,66
1735835358.006920000,66
1735835358.007533000,66
1735835358.007976000,66
1735835358.008728000,66
1735835358.009423000,66
1735835358.009810000,66
1735835358.010521000,66
1735835358.011026000,66
1735835358.011663000,66
1735835358.012286000,66
1735835358.012845000,66
1735835358.013523000,66
1735835358.014107000,66
1735835358.014734000,66
1735835358.215198000,7306
1735835358.215703000,7306
1735835358.216350000,7306
1735835358.216928000,7306
1735835358.217518000,7306
1735835358.218165000,7306
1735835358.218719000,7306
1735835358.219376000,7306
1735835358.219939000,7306
1735835358.220543000,7306
1735835358.221192000,7306
1735835358.221754000,7306
1735835358.222357000,7306
1735835358.222969000,7306
1735835358.223564000,7306
1735835358.224175000,7306
1735835358.224784000,7306
1735835358.225388000,7306
1735835358.225990000,818
1735835358.265372000,66
1735835358.265849000,66
1735835358.266497000,66
1735835358.267035000,66
1735835358.267692000,66
1735835358.268285000,66
1735835358.268916000,66
1735835358.269867000,66
1735835358.269997000,66
1735835358.270673000,66
1735835358.271330000,66
1735835358.271818000,66
1735835358.272474000,66
1735835358.273038000,66
1735835358.273617000,66
1735835358.274316000,66
1735835358.274850000,66
1735835358.275513000,66
1735835358.276069000,66
1735835358.477281000,7306
1735835358.477765000,7306
1735835358.478378000,7306
1735835358.478976000,7306
1735835358.479591000,7306
1735835358.480209000,7306
1735835358.480794000,7306
1735835358.481400000,7306
1735835358.482002000,7306
1735835358.482609000,7306
1735835358.483229000,7306
1735835358.483823000,7306
1735835358.484445000,7306
1735835358.485036000,7306
1735835358.485653000,7306
1735835358.486247000,7306
1735835358.486869000,7306
1735835358.487469000,7306
1735835358.488064000,818
1735835358.527492000,66
1735835358.527800000,66
1735835358.528696000,66
1735835358.529042000,66
1735835358.529657000,66
1735835358.530331000,66
1735835358.530840000,66
1735835358.531506000,66
1735835358.532101000,66
1735835358.532674000,66
1735835358.533367000,66
1735835358.533875000,66
1735835358.534601000,66
1735835358.535102000,66
1735835358.535773000,66
1735835358.536303000,66
1735835358.536985000,66
1735835358.537535000,66
1735835358.538178000,66
1735835358.739310000,7306
1735835358.739815000,7306
1735835358.740465000,7306
1735835358.741021000,7306
1735835358.741614000,7306
1735835358.742222000,7306
1735835358.742820000,7306
1735835358.743465000,7306
1735835358.744051000,7306
1735835358.744676000,7306
1735835358.745282000,7306
1735835358.745851000,7306
1735835358.746492000,7306
1735835358.747126000,7306
1735835358.747678000,7306
1735835358.748327000,7306
1735835358.748914000,7306
1735835358.749487000,7306
1735835358.750104000,818
1735835358.789510000,66
1735835358.789938000,66
1735835358.790655000,66
1735835358.791143000,66
1735835358.791797000,66
1735835358.792325000,66
1735835358.792932000,66
1735835358.793621000,66
1735835358.794232000,66
1735835358.794744000,66
1735835358.795458000,66
1735835358.795951000,66
1735835358.796613000,66
1735835358.797303000,66
1735835358.797794000,66
1735835358.798445000,66
1735835358.799044000,66
1735835358.799550000,66
1735835358.800241000,66
1735835359.001344000,7306
1735835359.001826000,7306
1735835359.002429000,7306
1735835359.003044000,7306
1735835359.003677000,7306
1735835359.004261000,7306
1735835359.004860000,7306
1735835359.005470000,7306
1735835359.006076000,7306
1735835359.006703000,7306
1735835359.007307000,7306
1735835359.007880000,7306
1735835359.008496000,7306
1735835359.009103000,7306
1735835359.009703000,7306
1735835359.010306000,7306
1735835359.010918000,7306
1735835359.011522000,7306
1735835359.012129000,818
1735835359.052897000,66
1735835359.053135000,66
1735835359.053830000,66
1735835359.054392000,66
1735835359.054934000,66
1735835359.055610000,66
1735835359.056219000,66
1735835359.056813000,66
1735835359.057499000,66
1735835359.057988000,66
1735835359.058616000,66
1735835359.059169000,66
1735835359.059824000,66
1735835359.060446000,66
1735835359.061040000,66
1735835359.061614000,66
1735835359.062215000,66
1735835359.244863000,70
1735835359.264430000,7306
1735835359.264931000,7306
1735835359.265546000,7306
1735835359.266169000,7306
1735835359.266750000,7306
1735835359.267381000,7306
